"Date","Symbol","Marketcapname","Sector"
"22-08-2022","TEXRAIL","Smallcap","Industrials"
"22-08-2022","TEJASNET","Midcap","Telecom"
"23-08-2022","EXCELINDUS","Smallcap","Chemicals"
"23-08-2022","ANANTRAJ","Midcap","Realty"
"24-08-2022","GARFIBRES","Midcap","Textiles"
"24-08-2022","MADRASFERT","Smallcap","Chemicals"
"24-08-2022","SALASAR","Smallcap","Metals & Mining"
"25-08-2022","WALCHANNAG","Smallcap","Industrials"
"25-08-2022","HNDFDS","Midcap","FMCG"
"25-08-2022","PNCINFRA","Midcap","Realty"
"25-08-2022","SJS","Midcap","Auto"
"26-08-2022","KPIL","Largecap","Realty"
"26-08-2022","SJVN","Largecap","Power & Utilities"
"29-08-2022","PARAS","Midcap","Aerospace & Defence"
"01-09-2022","RIIL","Smallcap","Transportation"
"01-09-2022","RELIGARE","Midcap","Financials"
"01-09-2022","SIRCA","Smallcap","Building Materials"
"01-09-2022","KIMS","Largecap","Healthcare"
"02-09-2022","HUHTAMAKI","Smallcap","Industrials"
"02-09-2022","VGUARD","Midcap","Industrials"
"02-09-2022","SKIPPER","Midcap","Industrials"
"05-09-2022","ESABINDIA","Midcap","Industrials"
"05-09-2022","SOUTHBANK","Midcap","Bank"
"06-09-2022","AQYLON","Smallcap","Media"
"06-09-2022","360ONE","Largecap","Financials"
"06-09-2022","DEVYANI","Midcap","Consumer Discretionary"
"07-09-2022","JSWDULUX","Midcap","Building Materials"
"07-09-2022","SOUTHBANK","Midcap","Bank"
"07-09-2022","STARCEMENT","Midcap","Building Materials"
"07-09-2022","TARSONS","Smallcap","Healthcare"
"08-09-2022","SUNDRMFAST","Midcap","Auto"
"08-09-2022","THEMISMED","Smallcap","Healthcare"
"12-09-2022","EIDPARRY","Midcap","FMCG"
"12-09-2022","THANGAMAYL","Midcap","Consumer Discretionary"
"13-09-2022","KAJARIACER","Midcap","Building Materials"
"14-09-2022","EIDPARRY","Midcap","FMCG"
"14-09-2022","APLAPOLLO","Largecap","Industrials"
"15-09-2022","TI","Midcap","FMCG"
"15-09-2022","THANGAMAYL","Midcap","Consumer Discretionary"
"16-09-2022","3MINDIA","Largecap","Miscellaneous"
"20-09-2022","JMFINANCIL","Midcap","Financials"
"20-09-2022","SUNPHARMA","Largecap","Healthcare"
"20-09-2022","RENUKA","Smallcap","FMCG"
"20-09-2022","KIMS","Largecap","Healthcare"
"21-09-2022","MARICO","Largecap","FMCG"
"21-09-2022","VGUARD","Midcap","Industrials"
"21-09-2022","JTLIND","Smallcap","Metals & Mining"
"21-09-2022","ARVINDFASN","Midcap","Consumer Discretionary"
"21-09-2022","KPITTECH","Midcap","I.T"
"22-09-2022","JMFINANCIL","Midcap","Financials"
"22-09-2022","GRANULES","Largecap","Healthcare"
"27-09-2022","ASALCBR","Smallcap","FMCG"
"29-09-2022","ESABINDIA","Midcap","Industrials"
"29-09-2022","3MINDIA","Largecap","Miscellaneous"
"30-09-2022","EIDPARRY","Midcap","FMCG"
"30-09-2022","CARBORUNIV","Largecap","Industrials"
"03-10-2022","BLUESTARCO","Largecap","Consumer Discretionary"
"03-10-2022","GRAUWEIL","Smallcap","Chemicals"
"03-10-2022","JAYBARMARU","Smallcap","Auto"
"03-10-2022","LAOPALA","Smallcap","Building Materials"
"03-10-2022","FDC","Midcap","Healthcare"
"03-10-2022","TBZ","Smallcap","Consumer Discretionary"
"03-10-2022","ONEPOINT","Smallcap","I.T"
"03-10-2022","CMSINFO","Smallcap","Miscellaneous"
"04-10-2022","GODFRYPHLP","Largecap","FMCG"
"04-10-2022","HFCL","Largecap","Telecom"
"04-10-2022","TATACOMM","Largecap","Telecom-Service"
"04-10-2022","VSTIND","Smallcap","FMCG"
"04-10-2022","GANECOS","Smallcap","Textiles"
"04-10-2022","ATULAUTO","Smallcap","Auto"
"04-10-2022","SUNTV","Largecap","Media"
"04-10-2022","MCX","Largecap","Financials"
"04-10-2022","HPL","Smallcap","Industrials"
"04-10-2022","HITECH","Smallcap","Metals & Mining"
"06-10-2022","DEEPAKNTR","Largecap","Chemicals"
"06-10-2022","PENIND","Smallcap","Metals & Mining"
"06-10-2022","CENTUM","Midcap","Consumer Discretionary"
"06-10-2022","IIFL","Largecap","Financials"
"06-10-2022","DLINKINDIA","Smallcap","Services"
"06-10-2022","JSWENERGY","Largecap","Power & Utilities"
"06-10-2022","GRAVITA","Midcap","Metals & Mining"
"06-10-2022","RBLBANK","Largecap","Bank"
"06-10-2022","PNBHOUSING","Largecap","Financials"
"06-10-2022","RAILTEL","Midcap","Transportation"
"07-10-2022","SATIN","Smallcap","Financials"
"10-10-2022","CASTROLIND","Midcap","Chemicals"
"10-10-2022","HONDAPOWER","Smallcap","Industrials"
"11-10-2022","ASTEC","Smallcap","Chemicals"
"12-10-2022","ORCHPHARMA","Smallcap","Healthcare"
"12-10-2022","MAXHEALTH","Largecap","Healthcare"
"13-10-2022","NSIL","Smallcap","Financials"
"13-10-2022","ANANDRATHI","Largecap","Financials"
"17-10-2022","BHARATFORG","Largecap","Industrials"
"17-10-2022","VIMTALABS","Smallcap","Healthcare"
"17-10-2022","PNB","Largecap","Bank"
"17-10-2022","CANBK","Largecap","Bank"
"17-10-2022","MAHABANK","Largecap","Bank"
"17-10-2022","SHALBY","Smallcap","Healthcare"
"17-10-2022","WEL","Smallcap","Consumer Discretionary"
"18-10-2022","J&KBANK","Midcap","Bank"
"18-10-2022","GOKULAGRO","Midcap","FMCG"
"18-10-2022","POLYCAB","Largecap","Industrials"
"19-10-2022","KICL","Smallcap","Financials"
"19-10-2022","MCX","Largecap","Financials"
"19-10-2022","PNBHOUSING","Largecap","Financials"
"19-10-2022","HITECH","Smallcap","Metals & Mining"
"20-10-2022","HPL","Smallcap","Industrials"
"21-10-2022","SCI","Midcap","Transportation"
"21-10-2022","POLYCAB","Largecap","Industrials"
"24-10-2022","ENGINERSIN","Midcap","Realty"
"24-10-2022","IIFL","Largecap","Financials"
"24-10-2022","WEALTH","Smallcap","Financials"
"24-10-2022","IRFC","Largecap","Financials"
"25-10-2022","LT","Largecap","Realty"
"25-10-2022","UNITDSPR","Largecap","FMCG"
"25-10-2022","SYNGENE","Midcap","Healthcare"
"25-10-2022","RAILTEL","Midcap","Transportation"
"27-10-2022","BBL","Smallcap","Industrials"
"27-10-2022","JAYBARMARU","Smallcap","Auto"
"27-10-2022","WEALTH","Smallcap","Financials"
"27-10-2022","IRCON","Midcap","Realty"
"28-10-2022","NH","Largecap","Healthcare"
"31-10-2022","HFCL","Largecap","Telecom"
"31-10-2022","GRASIM","Largecap","Textiles"
"31-10-2022","DYNAMATECH","Midcap","Industrials"
"01-11-2022","PFIZER","Largecap","Healthcare"
"01-11-2022","IOB","Largecap","Bank"
"01-11-2022","HUDCO","Largecap","Financials"
"01-11-2022","GICRE","Largecap","Financials"
"02-11-2022","IFCI","Largecap","Financials"
"02-11-2022","GANDHITUBE","Smallcap","Metals & Mining"
"02-11-2022","PRECWIRE","Midcap","Metals & Mining"
"02-11-2022","EIMCOELECO","Smallcap","Industrials"
"02-11-2022","JAGRAN","Smallcap","Media"
