"Date","Symbol","Marketcapname","Sector"
"30-12-2025","AUTOAXLES","Smallcap","Auto"
"30-12-2025","DOLPHIN","Smallcap","Energy"
"30-12-2025","CANTABIL","Smallcap","Textiles"
"30-12-2025","IIFLCAPS","Midcap","Financials"
"30-12-2025","ORIENTTECH","Smallcap","I.T"
"31-12-2025","ZYDUSWELL","Midcap","FMCG"
"31-12-2025","INDUSINDBK","Largecap","Bank"
"31-12-2025","MASFIN","Midcap","Financials"
"13-01-2026","ONGC","Largecap","Energy"
"13-01-2026","INDSWFTLAB","Smallcap","Healthcare"
"13-01-2026","OIL","Largecap","Energy"
"21-01-2026","NORTHARC","Smallcap","Financials"
"28-01-2026","BEL","Largecap","Aerospace & Defence"
"28-01-2026","NTPC","Largecap","Power & Utilities"
"28-01-2026","SHARDACROP","Midcap","Chemicals"
"29-01-2026","RAMCOCEM","Largecap","Building Materials"
"02-02-2026","SIEMENS","Largecap","Industrials"
"02-02-2026","GRWRHITECH","Midcap","Industrials"
"02-02-2026","SARDAEN","Midcap","Metals & Mining"
"02-02-2026","AVANTIFEED","Midcap","FMCG"
"02-02-2026","KEI","Largecap","Industrials"
"02-02-2026","PETRONET","Largecap","Energy"
"02-02-2026","CIEINDIA","Midcap","Industrials"
"02-02-2026","POWERGRID","Largecap","Power & Utilities"
"02-02-2026","POLYCAB","Largecap","Industrials"
"02-02-2026","DATAPATTNS","Largecap","Aerospace & Defence"
"03-02-2026","VOLTAS","Largecap","Consumer Discretionary"
"03-02-2026","TIMKEN","Largecap","Industrials"
"03-02-2026","NITINSPIN","Smallcap","Textiles"
"03-02-2026","TORNTPOWER","Largecap","Power & Utilities"
"03-02-2026","ADANIPORTS","Largecap","Transportation"
"03-02-2026","UEL","Smallcap","Power & Utilities"
"03-02-2026","ADANIENSOL","Largecap","Power & Utilities"
"03-02-2026","NAM-INDIA","Largecap","Financials"
"03-02-2026","BANDHANBNK","Largecap","Bank"
"03-02-2026","NYKAA","Largecap","I.T"
"06-02-2026","DATAPATTNS","Largecap","Aerospace & Defence"
"09-02-2026","JAYBARMARU","Smallcap","Auto"
"09-02-2026","RACLGEAR","Smallcap","Auto"
"09-02-2026","SCI","Midcap","Transportation"
"09-02-2026","LINCOLN","Smallcap","Healthcare"
"09-02-2026","TRIVENI","Midcap","FMCG"
"09-02-2026","KIMS","Largecap","Healthcare"
"09-02-2026","DIVGIITTS","Smallcap","Auto"
