"Date","Symbol","Marketcapname","Sector"
"09-10-2018","BALRAMCHIN","Midcap","FMCG"
"10-10-2018","DALMIASUG","Smallcap","FMCG"
"10-10-2018","HEG","Midcap","Industrials"
"10-10-2018","ADANIPOWER","Largecap","Power & Utilities"
"12-10-2018","TIIL","Midcap","Metals & Mining"
"29-10-2018","JKPAPER","Midcap","Building Materials"
"29-10-2018","ICICIBANK","Largecap","Bank"
"30-10-2018","CGCL","Largecap","Financials"
"30-10-2018","TIIL","Midcap","Metals & Mining"
"31-10-2018","RSYSTEMS","Smallcap","I.T"
"01-11-2018","EIHOTEL","Largecap","Services"
"01-11-2018","APOLLOHOSP","Largecap","Healthcare"
"02-11-2018","DEEPINDS","Smallcap","Energy"
"02-11-2018","NEWGEN","Midcap","I.T"
"05-11-2018","PUNJABCHEM","Smallcap","Chemicals"
"05-11-2018","63MOONS","Smallcap","I.T"
"07-11-2018","GALLANTT","Midcap","Metals & Mining"
"09-11-2018","GODFRYPHLP","Largecap","FMCG"
"12-11-2018","REFEX","Smallcap","Services"
"13-11-2018","AXISBANK","Largecap","Bank"
"14-11-2018","ADANIENSOL","Largecap","Power & Utilities"
"15-11-2018","BRITANNIA","Largecap","FMCG"
"15-11-2018","COLPAL","Largecap","FMCG"
"15-11-2018","HONAUT","Largecap","Consumer Discretionary"
"15-11-2018","AXISBANK","Largecap","Bank"
"16-11-2018","INDHOTEL","Largecap","Services"
"16-11-2018","GOLDIAM","Midcap","Consumer Discretionary"
"19-11-2018","FILATEX","Smallcap","Textiles"
"22-11-2018","LUMAXTECH","Midcap","Auto"
"26-11-2018","VIPIND","Smallcap","Plastic products"
"26-11-2018","AXISBANK","Largecap","Bank"
"28-11-2018","RELIANCE","Largecap","Energy"
"29-11-2018","AXISBANK","Largecap","Bank"
"29-11-2018","JWL","Midcap","Industrials"
"07-12-2018","FMGOETZE","Smallcap","Auto"
"12-12-2018","SBIN","Largecap","Bank"
"12-12-2018","INDORAMA","Smallcap","Textiles"
"12-12-2018","INDIANHUME","Smallcap","Realty"
"12-12-2018","PIIND","Largecap","Chemicals"
"12-12-2018","BANKINDIA","Largecap","Bank"
