Date,Symbol,Marketcapname,Sector
17-05-2021,EIHAHOTELS,Smallcap,Services
29-12-2021,JBCHEPHARM,Largecap,Healthcare
22-08-2023,DOLPHIN,Smallcap,Energy
06-06-2023,MOTILALOFS,Largecap,Financials
12-04-2019,63MOONS,Smallcap,I.T
05-11-2020,HINDALCO,Largecap,Metals & Mining
17-08-2020,MUNJALAU,Smallcap,Auto
29-07-2024,NAVNETEDUL,Smallcap,Miscellaneous
03-07-2020,HCLTECH,Largecap,I.T
29-12-2021,MSPL,Smallcap,Metals & Mining
14-09-2020,MSTCLTD,Midcap/Smallcap/Smallcap/Smallcap/Smallcap,I.T
19-05-2025,STAR,Midcap,Healthcare
09-11-2020,IFGLEXPOR,Smallcap,Building Materials
02-11-2022,REDINGTON,Largecap,Services
06-07-2026,IMPAL,Smallcap,Auto
05-07-2024,YESBANK,Largecap,Bank
15-01-2024,INDOTHAI,Smallcap,Financials
30-10-2020,SALZERELEC,Smallcap,Industrials
04-10-2022,HFCL,Largecap,Telecom
29-12-2020,DHANBANK,Smallcap,Bank
12-05-2025,INOXINDIA,Midcap,Industrials
04-08-2022,SOLARINDS,Largecap,Aerospace & Defence
25-08-2020,SHANTIGEAR,Smallcap,Industrials
03-06-2024,ZOTA,Midcap/Smallcap/Smallcap/Smallcap/Smallcap,Healthcare
05-02-2020,THANGAMAYL,Largecap/Largecap/Largecap/Midcap,Consumer Discretionary
28-06-2024,ABBOTINDIA,Largecap,Healthcare
03-09-2025,NEULANDLAB,Largecap,Healthcare
03-11-2022,LINCOLN,Smallcap,Healthcare
01-06-2020,JSL,Largecap,Metals & Mining
25-05-2023,TEJASNET,Midcap,Telecom
05-06-2023,LUMAXIND,Midcap/Smallcap/Midcap/Smallcap/Smallcap/Smallcap,Auto
27-03-2023,ALKEM,Largecap,Healthcare
03-08-2020,ALLDIGI,Smallcap,I.T
20-09-2019,AMBER,Largecap,Consumer Discretionary
05-02-2019,BAJAJ-AUTO,Largecap,Auto
17-02-2021,HINDPETRO,Largecap,Energy
12-06-2024,LEMONTREE,Midcap,Services
08-06-2021,HCLTECH,Largecap,I.T
10-05-2023,THANGAMAYL,Largecap/Largecap/Midcap,Consumer Discretionary
18-11-2024,IBULLSLTD,Midcap,Miscellaneous
06-06-2023,PARADEEP,Midcap,Chemicals
03-12-2020,DHANBANK,Smallcap,Bank
25-07-2024,YATHARTH,Midcap,Healthcare
13-11-2025,AETHER,Midcap,Chemicals
07-10-2025,RAMKY,Smallcap,Realty
07-01-2019,ABBOTINDIA,Largecap,Healthcare
07-12-2021,GUFICBIO,Smallcap,Healthcare
03-02-2021,POWERGRID,Largecap,Power & Utilities
04-09-2023,CCL,Midcap,FMCG
09-05-2025,APOLLO,Midcap,Aerospace & Defence
20-05-2019,BRIGADE,Midcap,Realty
03-07-2026,BUTTERFLY,Smallcap,Consumer Discretionary
01-06-2020,JAYNECOIND,Midcap,Metals & Mining
09-09-2019,CONCOR,Largecap,Transportation
19-03-2021,HINDUNILVR,Largecap,FMCG
30-06-2021,EIMCOELECO,Smallcap,Industrials
10-01-2024,DELHIVERY,Largecap,Transportation
26-04-2021,IGARASHI,Smallcap,Industrials
21-10-2024,DYCL,Smallcap,Industrials
03-08-2022,PREMEXPLN,Smallcap,Aerospace & Defence
20-06-2024,PIIND,Largecap,Chemicals
06-02-2024,MFSL,Largecap,Miscellaneous
24-11-2022,AURUM,Smallcap,I.T
25-11-2024,JISLJALEQS,Smallcap,Plastic products
28-07-2023,RBA,Midcap/Smallcap/Smallcap,Consumer Discretionary
20-08-2024,MANYAVAR,Midcap,Consumer Discretionary
12-09-2024,AXISBANK,Largecap,Bank
09-06-2022,NAVKARCORP,Smallcap,Transportation
05-08-2022,SBCL,Smallcap,Metals & Mining
20-10-2022,HPL,Smallcap,Industrials
16-03-2022,PRESTIGE,Largecap,Realty
06-06-2024,RAMCOIND,Smallcap,Building Materials
23-11-2020,JINDRILL,Smallcap,Energy
24-06-2024,AMBER,Largecap,Consumer Discretionary
10-06-2024,TRIVENI,Midcap,FMCG
21-11-2023,AFFLE,Largecap,I.T
03-04-2023,ALIVUS,Midcap,Healthcare
15-06-2020,DEEPAKFERT,Largecap/Largecap/Largecap/Midcap/Midcap,Chemicals
20-01-2025,KOTAKBANK,Largecap,Bank
06-10-2022,GRAVITA,Midcap,Metals & Mining
15-09-2025,ANANTRAJ,Largecap/Largecap/Largecap/Largecap/Midcap,Realty
24-06-2025,BAJAJCON,Midcap,FMCG
31-01-2019,ANDHRAPAP,Smallcap,Building Materials
07-12-2020,ARROWGREEN,Smallcap,Plastic products
08-01-2024,AURUM,Smallcap,I.T
24-02-2021,3MINDIA,Largecap,Miscellaneous
29-12-2022,SAMMAANCAP,Largecap/Midcap/Midcap/Midcap/Midcap,Financials
21-10-2020,JKTYRE,Midcap,Auto
24-04-2024,MIRCELECTR,Smallcap,Consumer Discretionary
05-07-2023,NAVNETEDUL,Smallcap,Miscellaneous
02-12-2020,PCJEWELLER,Midcap,Consumer Discretionary
15-07-2021,HAVELLS,Largecap,Consumer Discretionary
07-12-2020,TIIL,Midcap,Metals & Mining
25-05-2021,MHRIL,Smallcap,Services
04-12-2023,SANGAMIND,Smallcap,Textiles
18-12-2023,DCMSHRIRAM,Midcap,Miscellaneous
06-03-2023,WABAG,Midcap,Realty
06-11-2020,THOMASCOOK,Smallcap,Miscellaneous
05-08-2020,SUNFLAG,Midcap,Metals & Mining
01-01-2020,JINDALSAW,Midcap,Industrials
10-05-2021,GMMPFAUDLR,Smallcap,Industrials
03-04-2023,DEEPINDS,Smallcap,Energy
08-03-2022,GHCL,Smallcap,Chemicals
12-05-2025,DHANUKA,Smallcap,Chemicals
15-07-2025,AARTIDRUGS,Smallcap,Healthcare
05-11-2020,SAIL,Largecap,Metals & Mining
08-04-2025,JUBLFOOD,Largecap,Consumer Discretionary
21-11-2023,RALLIS,Smallcap,Chemicals
07-06-2024,CAPLIPOINT,Largecap/Largecap/Midcap/Midcap,Healthcare
04-08-2020,GPIL,Midcap,Metals & Mining
22-12-2021,BOMDYEING,Smallcap,Textiles
06-02-2023,ORCHPHARMA,Midcap/Midcap/Midcap/Midcap/Smallcap,Healthcare
11-11-2025,APEX,Smallcap,FMCG
30-07-2024,DEEPINDS,Smallcap,Energy
24-01-2024,RELIGARE,Midcap,Financials
10-06-2024,RPOWER,Midcap,Power & Utilities
11-05-2023,ORCHPHARMA,Midcap/Midcap/Midcap/Midcap/Smallcap,Healthcare
04-08-2020,SARDAEN,Midcap,Metals & Mining
17-03-2025,EICHERMOT,Largecap,Auto
29-07-2020,CGCL,Largecap,Financials
24-01-2023,ANTELOPUS,Smallcap,Energy
26-06-2019,GRASIM,Largecap,Textiles
25-04-2024,FEDERALBNK,Largecap,Bank
14-08-2023,UNITECH,Smallcap,Realty
30-05-2022,TIMKEN,Largecap,Industrials
11-09-2023,SUVEN,Midcap,Healthcare
06-06-2024,MAYURUNIQ,Smallcap,Consumer Discretionary
19-07-2023,PARACABLES,Smallcap,Industrials
28-01-2025,SHREECEM,Largecap,Building Materials
21-02-2024,MARATHON,Smallcap,Realty
27-09-2024,LMW,Midcap,Industrials
25-07-2024,AMBIKCO,Smallcap,Textiles
29-04-2021,MOIL,Midcap,Metals & Mining
24-03-2022,MPHASIS,Largecap,I.T
19-11-2020,BEL,Largecap,Aerospace & Defence
17-05-2021,GPPL,Midcap,Transportation
19-07-2022,INDUSINDBK,Largecap,Bank
16-11-2018,GOLDIAM,Midcap/Smallcap/Smallcap/Smallcap/Smallcap,Consumer Discretionary
12-06-2024,MAXHEALTH,Largecap,Healthcare
05-01-2023,GODREJCP,Largecap,FMCG
16-09-2019,CUB,Largecap/Largecap/Midcap/Midcap/Midcap,Bank
01-12-2020,UNITECH,Smallcap,Realty
06-11-2023,QUESS,Smallcap,Miscellaneous
02-03-2023,APOLLOPIPE,Smallcap,Plastic products
28-03-2023,ASIANHOTNR,Smallcap,Services
22-12-2021,KINGFA,Midcap,Plastic products
21-08-2025,NAVNETEDUL,Smallcap,Miscellaneous
03-03-2022,KRISHANA,Smallcap,Chemicals
09-07-2025,RELIGARE,Midcap,Financials
28-06-2023,HEMIPROP,Smallcap,Realty
29-12-2022,SJS,Midcap,Auto
21-05-2019,HDFCLIFE,Largecap,Financials
22-04-2024,MANAKCOAT,Smallcap,Metals & Mining
06-05-2025,CCL,Midcap,FMCG
16-09-2024,NESTLEIND,Largecap,FMCG
05-08-2020,TVSMOTOR,Largecap,Auto
20-05-2019,BEML,Midcap,Aerospace & Defence
01-04-2022,MANALIPETC,Smallcap,Energy
13-06-2025,PSPPROJECT,Smallcap,Realty
28-12-2020,GLAXO,Largecap,Healthcare
02-07-2024,MARKSANS,Midcap,Healthcare
14-11-2020,SIS,Midcap,Miscellaneous
10-11-2025,AUROPHARMA,Largecap,Healthcare
29-12-2020,ZOTA,Midcap/Smallcap/Smallcap/Smallcap/Smallcap,Healthcare
22-11-2023,CGPOWER,Largecap,Industrials
27-06-2023,DIVISLAB,Largecap,Healthcare
13-07-2021,GAYAPROJ,Smallcap,Realty
03-11-2023,APOLLOHOSP,Largecap,Healthcare
