Date,Symbol,Marketcapname,Sector
21-06-2024,POCL,Smallcap,Metals & Mining
04-08-2025,AVL,Midcap,Consumer Discretionary
16-10-2020,GPPL,Midcap,Transportation
26-06-2023,GPPL,Midcap,Transportation
26-08-2019,SUNTECK,Smallcap,Realty
21-06-2019,PFIZER,Largecap,Healthcare
06-10-2022,RAILTEL,Midcap,Transportation
16-04-2019,NESCO,Midcap,Realty
24-10-2022,IRFC,Largecap,Financials
13-06-2023,BBTC,Midcap,Auto
22-06-2020,STYRENIX,Smallcap,Energy
02-11-2018,DEEPINDS,Smallcap,Energy
01-10-2025,JKPAPER,Midcap,Building Materials
25-04-2023,RBLBANK,Largecap,Bank
24-10-2022,WEALTH,Smallcap,Financials
28-07-2023,TATACHEM,Midcap,Chemicals
08-09-2025,NLCINDIA,Largecap,Power & Utilities
28-03-2022,GAIL,Largecap,Energy
29-12-2022,SURYODAY,Smallcap,Bank
17-12-2020,SIRCA,Smallcap,Building Materials
17-11-2021,NRBBEARING,Smallcap,Industrials
25-09-2023,APTUS,Midcap,Financials
05-03-2019,EIHOTEL,Largecap,Services
04-11-2022,DHANBANK,Smallcap,Bank
05-08-2026,REDTAPE,Midcap,Consumer Discretionary
05-09-2025,DCAL,Smallcap,Healthcare
14-08-2019,BHARATRAS,Smallcap,Chemicals
10-08-2023,KNRCON,Smallcap,Realty
10-02-2021,TTKPRESTIG,Midcap,Consumer Discretionary
24-06-2025,ULTRACEMCO,Largecap,Building Materials
11-07-2024,HARIOMPIPE,Smallcap,Metals & Mining
15-07-2022,VINATIORGA,Midcap,Chemicals
19-01-2022,DCMSHRIRAM,Midcap,Miscellaneous
06-06-2024,WIPRO,Largecap,I.T
02-07-2020,ZYDUSWELL,Midcap,FMCG
04-10-2022,GANECOS,Smallcap,Textiles
24-09-2024,PGHL,Midcap,Healthcare
20-12-2018,SCHAEFFLER,Largecap,Industrials
20-05-2019,ANDHRSUGAR,Smallcap,Chemicals
03-05-2023,RATNAMANI,Midcap,Industrials
07-08-2020,LINDEINDIA,Largecap,Chemicals
05-07-2024,AMBIKCO,Smallcap,Textiles
27-06-2023,TIMKEN,Largecap,Industrials
30-10-2018,CGCL,Largecap,Financials
10-11-2025,LUPIN,Largecap,Healthcare
17-05-2021,SAMMAANCAP,Largecap/Midcap/Midcap/Midcap/Midcap,Financials
08-12-2021,TARIL,Midcap,Industrials
21-07-2023,OIL,Largecap,Energy
21-11-2023,ORCHPHARMA,Midcap/Midcap/Midcap/Midcap/Smallcap,Healthcare
21-07-2025,ETERNAL,Largecap,I.T
03-04-2023,TARC,Smallcap,Realty
06-05-2021,PATELENG,Smallcap,Realty
24-09-2024,VIDHIING,Smallcap,Chemicals
06-07-2023,RPOWER,Midcap,Power & Utilities
22-02-2024,SUPRAJIT,Midcap,Auto
27-12-2022,TALBROAUTO,Smallcap,Auto
09-10-2025,CESC,Largecap,Power & Utilities
28-11-2022,PFOCUS,Largecap/Largecap/Largecap/Largecap/Midcap,Realty
07-11-2023,NGLFINE,Smallcap,Healthcare
20-11-2023,GODREJAGRO,Midcap,FMCG
10-05-2021,SHARDACROP,Midcap,Chemicals
15-07-2021,SYNGENE,Midcap,Healthcare
12-05-2025,SUBROS,Midcap,Auto
08-10-2024,TARIL,Midcap,Industrials
28-03-2019,TCI,Midcap,Transportation
13-04-2022,PATANJALI,Largecap,FMCG
06-04-2021,IGARASHI,Smallcap,Industrials
06-06-2024,MARATHON,Smallcap,Realty
07-11-2022,ADFFOODS,Smallcap,FMCG
17-08-2020,SKIPPER,Midcap,Industrials
02-09-2021,FINEORG,Midcap,Chemicals
24-06-2025,BAJAJCON,Midcap,FMCG
05-06-2024,VISHNU,Smallcap,Chemicals
27-01-2020,PATANJALI,Largecap,FMCG
05-01-2024,ACCELYA,Smallcap,I.T
05-03-2019,VINATIORGA,Midcap,Chemicals
26-11-2025,HUDCO,Largecap,Financials
06-07-2022,TATACONSUM,Largecap,FMCG
14-11-2025,WEL,Smallcap,Consumer Discretionary
11-04-2023,TORNTPOWER,Largecap,Power & Utilities
31-12-2020,SMLMAH,Midcap,Auto
26-03-2019,SOBHA,Midcap,Realty
25-11-2020,GANDHITUBE,Smallcap,Metals & Mining
02-06-2023,KDDL,Smallcap,Consumer Discretionary
26-08-2021,ESABINDIA,Midcap,Industrials
24-07-2024,TARSONS,Smallcap,Healthcare
06-10-2023,PAISALO,Midcap,Financials
17-09-2024,TIINDIA,Largecap,Industrials
20-05-2026,WANBURY,Smallcap,Healthcare
22-04-2024,UTIAMC,Midcap,Financials
