Date,Symbol,Status,Detail
01-01-2020,BANARISUG,MATCH,Common
01-01-2020,ERIS,MATCH,Common
01-01-2020,INDRAMEDCO,MATCH,Common
01-01-2020,JINDALSAW,MATCH,Common
01-01-2020,MANINDS,MATCH,Common
01-01-2020,SOLARINDS,MATCH,Common
01-01-2020,UNOMINDA,MATCH,Common
01-01-2024,ACCELYA,MATCH,Common
01-01-2024,CENTUM,MATCH,Common
01-01-2024,EIHAHOTELS,MATCH,Common
01-01-2024,FINOPB,MATCH,Common
01-01-2024,FUSION,MATCH,Common
01-01-2024,JAYBARMARU,MATCH,Common
01-01-2025,EICHERMOT,MATCH,Common
01-02-2021,BANKINDIA,MATCH,Common
01-02-2021,HGINFRA,MATCH,Common
01-02-2021,JINDALPOLY,MATCH,Common
01-02-2021,PNB,MATCH,Common
01-02-2021,PNBGILTS,MATCH,Common
01-02-2021,PSB,MATCH,Common
01-02-2021,PSPPROJECT,MATCH,Common
01-02-2021,RAMCOCEM,MATCH,Common
01-02-2021,SHREECEM,MATCH,Common
01-02-2021,SOTL,MATCH,Common
01-02-2021,UNIONBANK,MATCH,Common
01-02-2022,CGCL,MATCH,Common
01-02-2022,MAHLIFE,MATCH,Common
01-02-2022,RATNAMANI,MATCH,Common
01-02-2022,VEDL,MATCH,Common
01-02-2024,VGUARD,MATCH,Common
01-03-2019,HEIDELBERG,MATCH,Common
01-03-2019,IDFCFIRSTB,MATCH,Common
01-03-2021,GODREJIND,MATCH,Common
01-03-2021,VHL,MATCH,Common
01-03-2024,YUKEN,MISSING_IN_FILE1,Only in File2 (1707)
01-04-2019,POKARNA,MATCH,Common
01-04-2019,TATAINVEST,MATCH,Common
01-04-2021,FLUOROCHEM,MATCH,Common
01-04-2021,GUJALKALI,MATCH,Common
01-04-2021,LTFOODS,MATCH,Common
01-04-2022,APCOTEXIND,MATCH,Common
01-04-2022,APLAPOLLO,MATCH,Common
01-04-2022,BLS,MATCH,Common
01-04-2022,M&MFIN,MATCH,Common
01-04-2022,MANALIPETC,MATCH,Common
01-04-2022,MMFL,MATCH,Common
01-04-2022,NTPC,MATCH,Common
01-04-2022,OPTIEMUS,MATCH,Common
01-04-2022,SCHNEIDER,MATCH,Common
01-04-2022,THOMASCOOK,MATCH,Common
01-04-2024,ABCAPITAL,MATCH,Common
01-04-2024,ABFRL,MATCH,Common
01-04-2024,ASALCBR,MATCH,Common
01-04-2024,BHAGYANGR,MATCH,Common
01-04-2024,CENTRUM,MATCH,Common
01-04-2024,COROMANDEL,MATCH,Common
01-04-2024,DIVISLAB,MATCH,Common
01-04-2024,GEOJITFSL,MATCH,Common
01-04-2024,GMBREW,MATCH,Common
01-04-2024,GOKULAGRO,MATCH,Common
01-04-2024,GRSE,MATCH,Common
01-04-2024,GSFC,MATCH,Common
01-04-2024,HEG,MATCH,Common
01-04-2024,HGINFRA,MATCH,Common
01-04-2024,HINDZINC,MATCH,Common
01-04-2024,IGPL,MATCH,Common
01-04-2024,INDRAMEDCO,MATCH,Common
01-04-2024,JUBLINGREA,MATCH,Common
01-04-2024,JUSTDIAL,MATCH,Common
01-04-2024,LAURUSLABS,MATCH,Common
01-04-2024,MAHLOG,MATCH,Common
01-04-2024,MAZDOCK,MATCH,Common
01-04-2024,MOIL,MATCH,Common
01-04-2024,ORIENTHOT,MATCH,Common
01-04-2024,SCHAEFFLER,MATCH,Common
01-04-2024,SHREDIGCEM,MATCH,Common
01-04-2024,SYMPHONY,MATCH,Common
01-04-2024,TEJASNET,MATCH,Common
01-04-2024,UTIAMC,MATCH,Common
01-04-2025,BANARISUG,MATCH,Common
01-04-2025,CHOICEIN,MATCH,Common
01-04-2025,INDUSTOWER,MATCH,Common
01-04-2026,AKUMS,MATCH,Common
01-04-2026,ANANDRATHI,MATCH,Common
01-04-2026,JAYNECOIND,MATCH,Common
01-04-2026,PRAJIND,MATCH,Common
01-04-2026,SAMBHV,MATCH,Common
01-04-2026,SPORTKING,MATCH,Common
01-04-2026,SUVEN,MATCH,Common
01-04-2026,WELCORP,MATCH,Common
01-06-2020,ALEMBICLTD,MATCH,Common
01-06-2020,ASTRAMICRO,MATCH,Common
01-06-2020,BBOX,MATCH,Common
01-06-2020,DIACABS,MATCH,Common
01-06-2020,GOKULAGRO,MATCH,Common
01-06-2020,IOB,MATCH,Common
01-06-2020,JAYNECOIND,MATCH,Common
01-06-2020,JPOLYINVST,MATCH,Common
01-06-2020,JSL,MATCH,Common
01-06-2020,ONIDA,MATCH,Common
01-06-2020,RALLIS,MATCH,Common
01-06-2020,RELINFRA,MATCH,Common
01-06-2020,STYRENIX,MATCH,Common
01-06-2020,TRIDENT,MATCH,Common
01-06-2021,CRISIL,MATCH,Common
01-06-2021,HERITGFOOD,MATCH,Common
01-06-2021,TATACOMM,MATCH,Common
01-06-2023,ALLDIGI,MATCH,Common
01-06-2023,KALYANKJIL,MATCH,Common
01-06-2023,KENNAMET,MATCH,Common
01-06-2023,KERNEX,MATCH,Common
01-06-2023,KSL,MATCH,Common
01-06-2023,OBEROIRLTY,MATCH,Common
01-06-2023,VTL,MATCH,Common
01-06-2026,JASH,MATCH,Common
01-06-2026,QUADFUTURE,MATCH,Common
01-07-2020,RESPONIND,MATCH,Common
01-07-2021,BDL,MATCH,Common
01-07-2021,INDNIPPON,MATCH,Common
01-07-2021,JYOTHYLAB,MATCH,Common
01-07-2022,AUTOAXLES,MATCH,Common
01-07-2024,APLLTD,MATCH,Common
01-07-2024,ASIANHOTNR,MATCH,Common
01-07-2024,FAZE3Q,MATCH,Common
01-07-2024,GREAVESCOT,MATCH,Common
01-07-2024,JYOTHYLAB,MATCH,Common
01-07-2024,NDRAUTO,MATCH,Common
01-07-2024,PFS,MATCH,Common
01-07-2024,SUNFLAG,MATCH,Common
01-07-2024,TCI,MATCH,Common
01-07-2024,VINDHYATEL,MATCH,Common
01-07-2026,BHARATSE,MATCH,Common
01-07-2026,EMIL,MATCH,Common
01-07-2026,IKS,MATCH,Common
01-07-2026,MUNJALAU,MATCH,Common
01-07-2026,RPGLIFE,MATCH,Common
01-08-2022,BASF,MATCH,Common
01-08-2022,BHARATWIRE,MATCH,Common
01-08-2022,DIAMONDYD,MATCH,Common
01-08-2022,EVEREADY,MATCH,Common
01-08-2022,EXCELINDUS,MATCH,Common
01-08-2022,GABRIEL,MATCH,Common
01-08-2022,GULFOILLUB,MATCH,Common
01-08-2022,JSWENERGY,MATCH,Common
01-08-2022,NRBBEARING,MATCH,Common
01-08-2022,PANAMAPET,MATCH,Common
01-08-2022,REFEX,MATCH,Common
01-08-2022,SCHNEIDER,MATCH,Common
01-08-2022,SKMEGGPROD,MATCH,Common
01-08-2022,UFLEX,MATCH,Common
01-08-2023,BFINVEST,MATCH,Common
01-08-2023,BGRENERGY,MATCH,Common
01-08-2023,GREAVESCOT,MATCH,Common
01-08-2023,LAURUSLABS,MATCH,Common
01-08-2023,PUNJABCHEM,MATCH,Common
01-08-2025,JAYBARMARU,MATCH,Common
01-09-2021,GMRAIRPORT,MATCH,Common
01-09-2022,KIMS,MATCH,Common
01-09-2022,RELIGARE,MATCH,Common
01-09-2022,RIIL,MATCH,Common
01-09-2022,SIRCA,MATCH,Common
01-09-2023,COALINDIA,MATCH,Common
01-09-2023,RENUKA,MATCH,Common
01-09-2023,SAGCEM,MATCH,Common
01-09-2023,SCHAEFFLER,MATCH,Common
01-09-2025,AMBER,MATCH,Common
01-09-2025,CENTURYPLY,MATCH,Common
01-09-2025,HINDZINC,MATCH,Common
01-09-2025,IBULLSLTD,MATCH,Common
01-09-2025,KAYNES,MATCH,Common
01-09-2025,NATIONALUM,MATCH,Common
01-09-2025,VARROC,MATCH,Common
01-09-2025,YESBANK,MATCH,Common
01-10-2019,NMDC,MATCH,Common
01-10-2020,QUESS,MATCH,Common
01-10-2020,TRIDENT,MATCH,Common
01-10-2021,TVSMOTOR,MATCH,Common
01-10-2024,BANCOINDIA,MATCH,Common
01-10-2025,APLAPOLLO,MATCH,Common
01-10-2025,BHEL,MATCH,Common
01-10-2025,CANFINHOME,MATCH,Common
01-10-2025,DCBBANK,MATCH,Common
01-10-2025,JKPAPER,MATCH,Common
01-10-2025,KICL,MATCH,Common
01-10-2025,ONGC,MATCH,Common
01-10-2025,SHRIRAMFIN,MATCH,Common
01-11-2018,APOLLOHOSP,MATCH,Common
01-11-2018,EIHOTEL,MATCH,Common
01-11-2019,INDRAMEDCO,MATCH,Common
01-11-2019,MOTILALOFS,MATCH,Common
01-11-2021,AURUM,MATCH,Common
01-11-2021,STEELXIND,MATCH,Common
01-11-2022,GICRE,MATCH,Common
01-11-2022,HUDCO,MATCH,Common
01-11-2022,IOB,MATCH,Common
01-11-2022,PFIZER,MATCH,Common
01-11-2023,IOC,MATCH,Common
01-12-2020,ARVSMART,MATCH,Common
01-12-2020,DMART,MATCH,Common
01-12-2020,ICRA,MATCH,Common
01-12-2020,JWL,MATCH,Common
01-12-2020,MADRASFERT,MATCH,Common
01-12-2020,SIGMAADV,MATCH,Common
01-12-2020,SIMPLEXINF,MATCH,Common
01-12-2020,SUMICHEM,MATCH,Common
01-12-2020,SUNPHARMA,MATCH,Common
01-12-2020,SWSOLAR,MATCH,Common
01-12-2020,TCIEXP,MATCH,Common
01-12-2020,UNITECH,MATCH,Common
01-12-2020,VHL,MATCH,Common
01-12-2020,VINDHYATEL,MATCH,Common
01-12-2021,RIIL,MATCH,Common
01-12-2023,ASIANPAINT,MATCH,Common
01-12-2023,CLEAN,MATCH,Common
01-12-2023,ITC,MATCH,Common
01-12-2023,MADRASFERT,MATCH,Common
01-12-2023,RUSTOMJEE,MATCH,Common
01-12-2023,VRLLOG,MATCH,Common
01-12-2025,GAEL,MATCH,Common
02-01-2019,CHAMBLFERT,MATCH,Common
02-01-2020,ASAHIINDIA,MATCH,Common
02-01-2020,CDSL,MATCH,Common
02-01-2020,FACT,MATCH,Common
02-01-2020,FOSECOIND,MATCH,Common
02-01-2020,HCLTECH,MATCH,Common
02-01-2020,IEX,MATCH,Common
02-01-2020,JAICORPLTD,MATCH,Common
02-01-2020,LAURUSLABS,MATCH,Common
02-01-2020,RIIL,MATCH,Common
02-01-2020,SHREECEM,MATCH,Common
02-01-2020,VIYASH,MATCH,Common
02-01-2020,VSTTILLERS,MATCH,Common
02-01-2023,ANUP,MATCH,Common
02-01-2023,BAJAJCON,MATCH,Common
02-01-2023,GSPL,MATCH,Common
02-01-2023,SALZERELEC,MATCH,Common
02-01-2024,ABBOTINDIA,MATCH,Common
02-01-2024,ABFRL,MATCH,Common
02-01-2024,IIFL,MATCH,Common
02-01-2024,SHK,MATCH,Common
02-01-2024,SYMPHONY,MATCH,Common
02-01-2024,TAJGVK,MATCH,Common
02-01-2024,TRIDENT,MATCH,Common
02-01-2024,UNICHEMLAB,MATCH,Common
02-01-2025,BAJFINANCE,MATCH,Common
02-01-2025,SBICARD,MATCH,Common
02-01-2025,ZENSARTECH,MATCH,Common
02-02-2021,360ONE,MATCH,Common
02-02-2021,ADOR,MATCH,Common
02-02-2021,BHEL,MATCH,Common
02-02-2021,BPCL,MATCH,Common
02-02-2021,GPPL,MATCH,Common
02-02-2021,MANAPPURAM,MATCH,Common
02-02-2021,TDPOWERSYS,MATCH,Common
02-02-2021,WELENT,MATCH,Common
02-02-2022,SHANTIGEAR,MATCH,Common
02-02-2024,BIOCON,MATCH,Common
02-02-2024,SMSPHARMA,MATCH,Common
02-02-2026,AVANTIFEED,MATCH,Common
